Yr,Age_brides,Age_bgrooms,Per_first_marri
2021,40+,30 – 34,0.3
2021,40+,35 – 39,0.8
2021,40+,40+,3.8
2021,40+,Total,5
2021,Total,16 – 19,0.1
2021,Total,20 – 24,3.7
2021,Total,25 – 29,28.4
2021,Total,30 – 34,40.3
2021,Total,35 – 39,17.9
2021,Total,40+,9.5
2021,Total,Total,100
